Taxon	AC1	AC2	AC3	AC4	AM1	AM2	AM3	AM4
Bacteria;Gemmatimonadetes;Gemmatimonadetes	32	26	34	27	28	53	44	59
Bacteria;Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;Gemmatimonas	11	5	5	10	22	21	1	4
Bacteria;Lentisphaerae;Lentisphaeria	2	1	1	6	1	1	2	0
Bacteria;Lentisphaerae;Lentisphaeria;Victivallales;Victivallaceae	1	1	0	0	0	1	0	0
Bacteria;Lentisphaerae;Lentisphaeria;Victivallales;Victivallaceae;Victivallis	0	0	1	0	0	0	0	0
Bacteria;Nitrospirae;Nitrospira;Nitrospirales	0	0	0	0	0	1	0	0
Bacteria;Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae	3	3	3	0	0	0	0	1
Bacteria;Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae;Nitrospira	1	7	4	13	12	13	7	4
Bacteria;Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae;Thermodesulfovibrio	1	0	1	2	0	0	0	0
Bacteria;OD1	8	6	5	2	2	2	5	2
Bacteria;OP10	1	0	0	1	1	2	1	1
Bacteria;OP11	0	1	0	0	0	0	0	1
Bacteria;OP3	3	4	0	0	2	0	4	7
Bacteria;OP8	0	0	0	0	0	0	0	1
Bacteria;OP9	0	0	0	1	0	0	0	0
Bacteria;Planctomycetes	0	1	0	0	0	1	1	1
Bacteria;Planctomycetes;Phycisphaerae	6	6	8	12	5	3	8	7
Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales	2	1	0	6	0	0	0	0
Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;Phycisphaeraceae	5	7	5	3	12	15	5	3
Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;Phycisphaera	2	3	0	2	1	7	4	1
Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae	24	30	20	28	34	76	34	51
Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Blastopirellula	1	13	3	7	3	10	3	4
Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Gemmata	0	0	0	0	2	1	1	0
Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Isosphaera	0	0	0	0	0	2	0	1
Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Pirellula	3	1	3	2	3	7	1	0
Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Planctomyces	6	10	9	7	10	19	10	5
Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Planctomyces;maris	0	0	0	1	0	2	0	0
Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Rhodopirellula	1	4	4	2	4	3	1	3
Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Schlesneria	0	0	0	0	0	0	0	2
Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Singulisphaera	0	0	0	0	0	2	0	0
Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Zavarzinella	0	0	0	0	0	0	1	0
Bacteria;Proteobacteria	0	0	1	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria	9	8	7	12	5	10	6	3
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae	5	0	1	1	0	1	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Phenylobacterium	1	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Hyphomonadaceae	0	1	0	0	4	1	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Hyphomonadaceae;Hellea	0	0	0	0	1	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Hyphomonadaceae;Hirschia	1	1	2	1	2	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Hyphomonadaceae;Hyphomonas;Henriciella	4	1	1	0	0	0	0	1
