Taxon	AC1	AC2	AC3	AC4	AM1	AM2	AM3	AM4
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Teredinibacter	0	0	2	0	3	3	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Unassigned;Haliea	0	0	2	4	2	1	1	0
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Unassigned;Melitea	2	0	0	0	0	1	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Idiomarinaceae;Idiomarina	0	1	0	0	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Idiomarinaceae;Pseudidiomarina	3	0	2	1	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Moritellaceae;Paramoritella;alkaliphila	0	0	0	1	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae	1	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae;Algicola;bacteriolytica	0	0	1	0	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae;Pseudoalteromonas	2	3	1	0	0	1	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella	1	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales	11	2	2	4	5	3	8	10
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae	0	3	4	1	0	0	2	2
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Marichromatium	0	1	0	1	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Nitrosococcus	3	4	3	8	2	4	6	6
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Thiohalocapsa	2	0	1	1	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae	0	0	1	0	0	0	2	3
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Alkalilimnicola	0	0	1	0	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Alkalispirillum	1	0	0	0	0	0	0	1
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Arhodomonas	0	0	1	0	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Ectothiorhodospira	1	0	0	0	0	0	0	1
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Halorhodospira	0	1	0	0	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Thioalkalispira	0	1	0	3	0	0	2	2
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Thioalkalivibrio	4	3	2	3	2	0	1	2
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Thiohalospira;alkaliphila	0	0	2	0	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Granulosicoccaceae;Granulosicoccus	2	2	1	2	0	0	1	0
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Halothiobacillaceae;Halothiobacillus	1	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Halothiobacillaceae;Halothiobacillus;kellyi	2	1	3	1	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Halothiobacillaceae;Thioalkalibacter;halophilus	0	0	0	0	0	0	1	0
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae	4	6	3	0	4	2	0	4
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Citrobacter	1	0	0	0	0	0	1	2
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Klebsiella	0	0	0	1	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Serratia	0	1	0	0	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Serratia;marcescens	0	0	0	0	0	1	1	1
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Sodalis	0	0	1	2	0	2	1	3
Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Coxiellaceae	0	3	3	1	0	0	1	0
Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Coxiellaceae;Aquicella	1	1	1	1	2	1	1	0
Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Coxiellaceae;Coxiella	4	7	2	1	3	1	22	11
Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Coxiellaceae;Rickettsiella	1	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella	2	0	0	1	0	0	0	1
Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella;yabuuchiae	1	0	0	1	1	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales	0	0	0	0	0	0	0	1
Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Crenotrichaceae	0	0	0	0	1	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylococcaceae;Methylococcus	2	0	0	2	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylococcaceae;Methylomicrobium;kenyense	0	0	0	0	0	0	0	1
Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylococcaceae;Methylomonas	1	0	0	0	0	1	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales	3	3	3	1	0	1	3	1
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Alcanivoracaceae;Alcanivorax	0	0	1	0	0	3	0	2
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Alcanivoracaceae;Kangiella	0	1	1	1	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Hahellaceae;Endozoicomonas	1	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae	1	0	0	0	0	0	0	1
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Halomonas	1	0	2	3	2	0	2	1
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Kushneria	5	1	4	2	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Zymobacter;palmae	0	0	1	0	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Litoricolaceae;Litoricola	1	1	0	0	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae	0	0	0	0	1	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Marinobacterium	0	0	1	0	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Neptuniibacter	0	0	1	0	0	0	0	1
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Oleispira	0	0	0	4	1	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Pseudospirillum	1	1	1	1	2	3	3	3
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Saccharospirillaceae;Saccharospirillum;salsuginis	0	0	0	0	0	0	1	0
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;influenzae	0	0	0	0	0	1	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Mannheimia	1	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Nicoletella;semolina	0	0	0	0	0	1	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Pasteurella	0	0	0	0	0	0	0	1
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae	0	0	0	2	1	2	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Perlucidibaca	1	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas	3	1	1	1	4	1	0	1
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;aeruginosa	0	0	2	2	0	1	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;andersonii	1	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales	0	2	1	0	0	0	1	0
Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Piscirickettsiaceae	1	3	2	5	1	1	4	6
Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Piscirickettsiaceae;Methylophaga	1	1	0	1	0	0	2	4
Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Piscirickettsiaceae;Thiomicrospira	0	2	0	1	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae	0	1	1	1	2	0	0	1
Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;Leucothrix	0	0	0	1	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;Methylohalomonas	0	1	0	1	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;Thioploca	0	1	1	0	1	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Unassigned;Unassigned;Sedimenticola	2	0	0	3	3	2	3	0
Bacteria;Proteobacteria;Gammaproteobacteria;Unassigned;Unassigned;Thiobios	1	1	0	0	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Unassigned;Unassigned;Thiohalophilus	0	2	0	0	0	0	4	1
Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Photobacterium;damselae	1	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Photobacterium;ganghwense	0	0	0	0	0	1	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio	0	1	0	1	0	1	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio;harveyi	0	0	0	0	0	0	0	1
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Sinobacteraceae	60	58	55	36	32	28	28	26
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Sinobacteraceae;Steroidobacter	1	1	0	0	3	5	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae	3	4	1	1	0	1	0	1
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Arenimonas	0	0	1	0	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Dokdonella	1	1	0	0	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Lysobacter	0	0	0	1	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Pseudoxanthomonas	1	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Silanimonas	0	1	0	0	3	1	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas	1	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Xanthomonas;axonopodis	1	0	0	1	0	0	0	0
Bacteria;Spirochaetes;Spirochaetes	0	0	0	1	0	0	0	0
Bacteria;Spirochaetes;Spirochaetes;Spirochaetales;Leptospiraceae;Leptonema	0	0	0	3	0	1	0	0
Bacteria;Spirochaetes;Spirochaetes;Spirochaetales;Leptospiraceae;Turneriella	0	0	1	0	0	0	0	0
Bacteria;Spirochaetes;Spirochaetes;Spirochaetales;Spirochaetaceae	0	0	1	0	0	1	0	0
Bacteria;Spirochaetes;Spirochaetes;Spirochaetales;Spirochaetaceae;Spirochaeta	0	2	0	1	0	1	0	0
Bacteria;TA06	3	2	2	2	1	0	1	0
Bacteria;TG-1	1	0	2	0	0	2	3	1
Bacteria;TM6	0	1	2	0	0	0	1	0
Bacteria;TM7	1	0	2	0	5	2	3	3
Bacteria;Thermotogae;Thermotogae;Thermotogales;Thermotogaceae;Kosmotoga	0	0	0	1	0	0	0	0
Bacteria;Verrucomicrobia	0	0	0	2	0	0	0	0
Bacteria;Verrucomicrobia;Opitutae;Opitutales;Opitutaceae;Alterococcus	0	1	0	1	1	0	0	0
Bacteria;Verrucomicrobia;Opitutae;Opitutales;Opitutaceae;Opitutus	2	0	2	4	3	1	0	1
Bacteria;Verrucomicrobia;Opitutae;Puniceicoccales;Puniceicoccaceae	0	0	0	1	1	0	0	0
Bacteria;Verrucomicrobia;Opitutae;Puniceicoccales;Puniceicoccaceae;Cerasicoccus	0	1	0	1	0	1	1	0
Bacteria;Verrucomicrobia;Opitutae;Puniceicoccales;Puniceicoccaceae;Coraliomargarita	1	0	5	1	0	0	0	0
Bacteria;Verrucomicrobia;Opitutae;Puniceicoccales;Puniceicoccaceae;Pelagicoccus	0	1	0	0	1	0	0	0
Bacteria;Verrucomicrobia;Opitutae;Puniceicoccales;Puniceicoccaceae;Pelagicoccus;mobilis	0	0	0	0	0	1	0	0
Bacteria;Verrucomicrobia;Spartobacteria	1	0	0	0	2	0	1	1
Bacteria;Verrucomicrobia;Spartobacteria;Chthoniobacter	1	0	1	1	1	2	0	0
Bacteria;Verrucomicrobia;Spartobacteria;Chthoniobacterales;Xiphinematobacteriaceae	0	0	0	0	1	0	0	0
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales	0	0	0	1	0	0	0	0
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Subdivision3	1	4	2	6	7	13	4	9
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae	3	2	3	3	1	0	1	1
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;Acidimethylosilex	0	0	0	0	0	1	0	0
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;Haloferula;helveola	1	4	1	2	0	0	0	0
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;Haloferula;sargassicola	0	1	0	0	0	0	0	0
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;Luteolibacter	3	1	3	3	0	2	1	1
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;Luteolibacter;algae	1	0	0	0	3	0	0	0
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;Roseibacillus	0	0	0	2	0	1	0	0
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;Verrucomicrobium	1	0	1	1	0	0	0	0
Bacteria;WS3	6	9	5	13	6	3	4	1
Organelle;Chloroplast	0	0	0	0	0	1	0	0
Organelle;Chloroplast;Bacillariophyta	18	12	63	17	20	4	12	33
Organelle;Chloroplast;Chlorophyta	0	0	0	0	1	0	0	0
Organelle;Chloroplast;Streptophyta	3	1	0	6	31	1	28	16
Organelle;Mitochondria	0	0	0	0	0	0	2	0
Unknown	24	30	28	31	29	17	34	30
