AC1_326	Bacteria;Proteobacteria;Gammaproteobacteria;Acidithiobacillales;Acidithiobacillaceae;Acidithiobacillus
AC1_327	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae
AC1_328	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Nitratireductor
AC1_329	Bacteria;Gemmatimonadetes;Gemmatimonadetes
AC1_330	Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae
AC1_331	Bacteria;Chloroflexi
AC1_332	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella
AC1_333	Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae
AC1_334	Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales
AC1_336	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Nitratireductor
AC1_337	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus
AC1_338	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus
AC1_340	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Tropicimonas
AC1_341	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Mesorhizobium
AC1_342	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae
AC1_344	Bacteria;Chloroflexi;Caldilineae;Caldilineales;Caldilineaceae;Caldilinea
AC1_345	Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Polyangiaceae
AC1_346	Unknown
AC1_348	Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Chloroacidobacterium
AC1_349	Bacteria;BRC1
AC1_350	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Coxiellaceae;Coxiella
AC1_351	Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolinaceae;Bellilinea
AC1_353	Bacteria;WS3
AC1_354	Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae
AC1_355	Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae
AC1_357	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Stappia
AC1_358	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhodobiaceae;Anderseniella
AC1_359	Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Saprospiraceae;Lewinella;persicus
AC1_360	Bacteria;Chloroflexi;Caldilineae;Caldilineales
AC1_361	Bacteria;OD1
AC1_362	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Cellulomonadaceae;Cellulomonas
AC1_363	Unknown
AC1_364	Bacteria;Firmicutes;Bacilli;Bacillales;Thermoactinomycetaceae
AC1_365	Bacteria;Planctomycetes;Phycisphaerae
AC1_366	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae
AC1_367	Bacteria;Actinobacteria;Actinobacteria;Acidimicrobiales
AC1_369	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Perlucidibaca
AC1_372	Bacteria;Actinobacteria;Actinobacteria;Acidimicrobiales
AC1_373	Bacteria;Proteobacteria;Betaproteobacteria;Methylophilales;Methylophilaceae
AC1_374	Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae
AC1_376	Bacteria;Chloroflexi;Anaerolineae;Anaerolineales
AC1_377	Bacteria;Gemmatimonadetes;Gemmatimonadetes
AC1_379	Bacteria;Proteobacteria;Deltaproteobacteria
AC1_380	Unknown
AC1_381	Bacteria;Acidobacteria;Holophagae
AC1_382	Bacteria
AC1_383	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Sinobacteraceae
AC1_384	Bacteria;TG-1
AC1_386	Bacteria;Proteobacteria;Gammaproteobacteria;Unassigned;Unassigned;Sedimenticola
AC1_388	Bacteria;Proteobacteria;Gammaproteobacteria
AC1_389	Bacteria;Cyanobacteria
AC1_391	Bacteria;Proteobacteria;Deltaproteobacteria
AC1_392	Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Zeaxanthinibacter
